	logFC	AveExpr	t	P.Value	adj.P.Val	B
PMEPA1	1.06494108682531	6.49695481343811	12.6847864408485	1.28755284508021e-30	1.0337035637753e-28	58.7840143655043
NPR3	1.33910346778372	5.59827677602084	12.6802257791021	1.33999700091137e-30	1.06834017209577e-28	58.7445172062586
TNFRSF21	1.03100976895522	7.27874664976776	12.6799438069997	1.34330848085242e-30	1.06834017209577e-28	58.7420753861281
OAS1	1.25329268983344	6.17249581712672	12.6749367295632	1.40348885242638e-30	1.10915191063609e-28	58.6987184557364
SRPX2	1.46951153900435	6.44567461013281	12.6745928391096	1.40771936710012e-30	1.10915191063609e-28	58.695740895037
ELAC1	-0.430756774643415	4.50760151636827	-12.6710895347578	1.45154772509274e-30	1.1383897436607e-28	58.6654093793383
MCOLN3	-1.00685561885514	4.56540662451639	-12.6658493088299	1.51965744772902e-30	1.18631323338846e-28	58.6200454069154
TLDC1	0.566882842912436	5.03954078906295	12.6401445528747	1.90277784944754e-30	1.47609702315413e-28	58.3976229275116
PDGFC	0.954970127706281	8.20326298009086	12.6398133804979	1.90829544315676e-30	1.47609702315413e-28	58.3947583932378
TSC22D1	0.773652592392661	8.95478778453864	12.6278899770362	2.11793745631055e-30	1.63081184135912e-28	58.2916433300674
AFAP1	0.735572151021476	4.90347882575343	12.6236602437014	2.19769638228847e-30	1.68456908217044e-28	58.2550727514503
SMYD3	0.703402747354821	5.90255830949604	12.6107812508473	2.45945964564019e-30	1.8767228106822e-28	58.1437480991616
OAS2	1.24914106263526	5.68132371686224	12.5990246769235	2.72543961074506e-30	2.07035636798302e-28	58.0421624660216
CDH23	-0.438896910318563	3.78593629678844	-12.5938538380461	2.85132405731544e-30	2.1563138183448e-28	57.9974937247587
ECHDC3	-0.936263787830963	5.43844298061442	-12.586796189642	3.03254615505016e-30	2.28317030517998e-28	57.9365366716632
CYB5R2	0.670363682034648	4.95508391823786	12.5847751915558	3.08652307146317e-30	2.31352658542416e-28	57.9190836231453
PLIN3	0.655109840705646	6.84328343568277	12.5676105855263	3.58530931185905e-30	2.67555681686751e-28	57.7708948777253
ECM1	1.02632567171986	6.36125200053226	12.5647382785392	3.67629225049022e-30	2.73142064575896e-28	57.74610453899
NECTIN4	0.813306289526765	5.01158265352524	12.5596516210929	3.84309864803757e-30	2.84288607413783e-28	57.7022077818726
CKAP5	0.52018807479006	6.93343059690507	12.5379517708095	4.64367790796411e-30	3.4201697287353e-28	57.515017899522
